1;2813.00;9.60;1841.00;small
1;2777.00;9.60;1822.00;small
2;2783.00;9.85;1874.00;small
2;2751.00;9.60;1837.00;small
3;2747.00;9.60;1953.00;small
3;2748.00;9.60;1913.00;small
4;2701.00;9.60;1874.00;small
4;2674.00;9.60;1849.00;small
5;2908.00;9.50;1844.00;small
5;2891.00;9.60;1811.00;small
6;2960.00;9.60;1842.00;small
6;2976.00;9.60;1903.00;small
7;2938.00;10.28;1796.00;big
7;2984.00;10.65;1768.00;big
8;3037.00;9.60;1840.00;big
9;3108.00;9.60;1953.00;big
9;3147.00;9.50;2008.00;big
10;3032.00;9.60;1941.00;big
10;3062.00;9.50;1986.00;big
11;2981.00;11.20;2060.00;big
11;2938.00;12.65;2001.00;big
12;3407.00;9.98;2182.00;big
12;3324.00;9.80;2196.00;big
12;3255.00;9.68;2165.00;big
12;3244.00;9.60;2205.00;big
12;3200.00;10.00;2176.00;big
13;3197.00;9.60;2045.00;big
13;3264.00;9.50;2058.00;big
14;3792.00;9.93;2045.00;big
14;3782.00;10.00;1906.00;big
14;3974.00;9.80;1900.00;big
14;3918.00;9.80;2072.00;big
14;3861.00;9.60;2040.00;big
14;3936.00;9.70;1956.00;big
14;3843.00;9.73;1931.00;big
14;3778.00;10.00;1946.00;big
14;3869.00;9.60;1943.00;big
16;2840.00;9.50;1909.00;big
16;2807.00;9.50;2046.00;big
17;3441.00;10.10;986.00;big
17;3416.00;15.45;1103.00;big
17;3555.00;11.68;1091.00;big
17;3417.00;13.00;1173.00;big
18;2768.00;9.50;1789.00;small
18;2850.00;9.50;1828.00;small
19;2853.00;9.65;1769.00;big
19;2906.00;10.40;1757.00;big
20;2837.00;10.15;1685.00;big
20;2896.00;11.07;1694.00;big
21;3043.00;12.32;1744.00;big
21;2954.00;9.55;1718.00;big
22;3110.00;11.53;1774.00;small
22;3042.00;10.53;1787.00;small
23;3054.00;9.63;1611.00;small
23;3000.00;10.07;1668.00;small
24;3143.00;11.45;1657.00;small
24;3076.00;10.05;1696.00;small
25;3161.00;9.63;1595.00;small
25;3229.00;9.60;1620.00;small
26;3211.00;9.80;1666.00;small
26;3249.00;10.05;1724.00;small
27;3105.00;9.70;1736.00;small
27;3181.00;11.03;1729.00;small
28;3365.00;9.82;1450.00;big
28;3510.00;9.60;1488.00;big
28;3406.00;10.48;1521.00;big
29;3130.00;9.50;1523.00;big
29;3040.00;9.50;1532.00;big
30;3270.00;9.50;1663.00;big
30;3369.00;9.50;1668.00;big
