38;air_base;3053.61;11.30;1795.39;1.79;0
38;naval_base;3077.00;9.63;1790.00;1.57;0
38;naval_base;3080.00;9.50;1794.00;0.79;593
38;bunker;3057.00;11.65;1847.00;3.47;0
38;bunker;3061.00;10.60;1815.00;6.13;0
38;bunker;3058.00;11.10;1824.00;2.87;0
38;bunker;3078.00;10.80;1805.00;4.07;0
38;bunker;3070.00;10.75;1804.00;1.92;0
38;bunker;3024.00;11.75;1827.00;2.52;0
38;bunker;3036.00;11.40;1808.00;0.36;0
38;bunker;3072.00;10.40;1820.00;3.03;0
38;bunker;3034.00;12.15;1849.00;6.20;0
38;bunker;3061.00;11.10;1831.00;4.14;0
38;bunker;3068.00;10.53;1800.00;0.52;0
38;bunker;3020.00;12.60;1799.00;0.43;0
38;bunker;3082.00;11.03;1841.00;4.65;0
38;bunker;3048.00;11.30;1811.00;5.76;0
38;bunker;3040.00;11.40;1793.00;4.21;0
38;bunker;3035.00;12.30;1839.00;4.81;0
38;bunker;3072.00;10.55;1790.00;4.22;0
38;bunker;3051.00;11.35;1820.00;5.33;0
38;bunker;3023.00;12.00;1815.00;3.17;0
38;bunker;3020.00;13.05;1831.00;1.61;0
38;bunker;3057.00;11.35;1842.00;5.84;0
38;bunker;3038.00;11.70;1784.00;0.06;0
38;coastal_bunker;3076.00;9.60;1793.00;1.57;0
38;coastal_bunker;3081.00;9.50;1794.00;0.79;0
38;nuclear_reactor;3030.00;9.50;1815.00;4.96;0
100;air_base;2565.00;11.28;1904.00;4.14;0
100;naval_base;2584.00;9.50;1892.00;-4.29;8413
100;bunker;2525.00;12.73;1909.00;1.99;0
100;coastal_bunker;2458.00;9.55;1900.00;-2.22;0
100;dockyard;2565.00;9.55;1883.00;-0.24;0
100;synthetic_refinery;2477.00;10.55;1891.00;3.71;0
101;bunker;2009.00;10.40;1966.00;4.05;0
110;bunker;2973.00;11.40;1764.00;2.22;0
110;bunker;2992.00;12.35;1772.00;5.23;0
110;bunker;2958.00;13.35;1768.00;4.79;0
110;bunker;2990.00;13.18;1785.00;1.78;0
110;bunker;2979.00;12.60;1796.00;4.45;0
110;bunker;2994.00;13.55;1779.00;2.80;0
110;bunker;2975.00;13.28;1776.00;3.41;0
110;bunker;2967.00;13.68;1783.00;1.34;0
110;bunker;2945.00;13.18;1769.00;1.85;0
110;bunker;2950.00;12.55;1781.00;0.30;0
111;bunker;3181.00;9.70;1783.00;0.74;0
120;naval_base;2746.95;9.50;1723.54;-0.01;0
120;naval_base;2717.00;9.50;1714.00;-2.98;3590
120;bunker;2728.00;11.32;1709.00;3.41;0
120;bunker;2727.00;12.50;1695.00;1.85;0
120;coastal_bunker;2734.00;9.50;1714.00;-3.14;0
120;coastal_bunker;2747.00;10.30;1727.00;-3.79;0
120;synthetic_refinery;2746.00;10.25;1726.00;5.70;0
140;bunker;3002.00;10.50;1734.00;0.37;0
140;bunker;3018.00;10.23;1729.00;1.48;0
